lat;lon;description;label;number
55.727430;37.573600;"Новый взгляд

Москва, 1-й Шибаевский переулок, 4
1 067 000 — 2 145 000 руб/год
Сайт: <a href=""https://newlookschool.ru/"">newlookschool.ru</a>";Взгляд;58
55.801430;37.126113;"Павловская гимназия

Московская область, муниципальный округ Истра, деревня Веледниково, Живописная улица, 136
1 950 000 — 2 150 000 руб/год
Сайт: <a href=""https://pavl-gymn.ru/"">pavl-gymn.ru</a>";Павловск.;59
55.769570;36.954858;"Первая Московская гимназия

Московская область, Одинцовский городской округ, деревня Липки, 63а
1 500 000 — 2 200 000 руб/год
Сайт: <a href=""https://1msg.ru/"">1msg.ru</a>";1Моск.гим;60
55.736295;37.226248;"Президент

Московская область, Одинцовский городской округ, деревня Жуковка, Ильинский подъезд, 2с1–4
2 000 000 — 2 300 000 руб/год
Сайт: <a href=""https://president-school.ru/"">president-school.ru</a>";Презид.;61
55.698148;37.364751;"Сколка

Москва, территория инновационного центра «Сколково», Большой бульвар, 37
1 705 000 — 2 475 000 руб/год
Сайт: <a href=""https://skolka-school.ru/"">skolka-school.ru</a>";Сколка;62
55.715849;37.505723;"Снегири

Москва, Минская улица, 2Вк2
1 320 000 — 1 920 000 руб/год
Сайт: <a href=""https://snegiri-school.ru/"">snegiri-school.ru</a>";Снегири;63
55.784015;37.466098;"Хорошкола

Москва, улица Маршала Тухачевского, 45к2
1 490 000 — 1 890 000 руб/год
Сайт: <a href=""https://horoshkola.ru/"">horoshkola.ru</a>";Хорошкола;64
55.743015;37.656568;"Школа Сотрудничества

Москва, улица Александра Солженицына, 9а
1 332 000 — 1 746 000 руб/год
Сайт: <a href=""https://schso.ru/"">schso.ru</a>";Сотрудн.;65
55.855760;37.473734;"Cambridge International School

Москва, Фестивальная улица, 7а
1 554 000 — 3 389 000 руб/год
Сайт: <a href=""https://cambridge-school.ru/"">cambridge-school.ru</a>";Cambridge;66
55.755819;37.617644;"Heritage International School

Москва, Верхняя Краснобогатырская улица, 90с3
1 790 000 — 2 380 000 руб/год
Сайт: <a href=""https://heritage-school.ru/"">heritage-school.ru</a>";Heritage;67
